Price,Close,High,Low,Open,Volume
Ticker,UNP,UNP,UNP,UNP,UNP
Date,,,,,
2023-10-13,201.01193237304688,203.61468851665836,200.30561299005436,202.11495754858154,1874600
2023-10-16,203.9920654296875,206.39162643297814,201.96016969022637,202.42461228226543,2358900
2023-10-17,204.48548889160156,206.45933270668544,202.77290691438418,203.09219084892877,2479900
2023-10-18,199.24127197265625,203.57596532504556,198.8058700440003,203.32440337521786,3487200
2023-10-19,203.50823974609375,212.96136747153065,203.32439977052476,211.48099208201072,6031000
2023-10-20,204.48548889160156,207.9880894610685,203.19862374840773,205.59819916140742,5485700
2023-10-23,201.0216064453125,204.7757691098334,200.7506890121917,203.46954845708515,2576500
2023-10-24,198.77685546875,202.28912643529398,197.63511937122948,201.68922519196252,2937500
2023-10-25,198.56399536132812,200.36366961514864,195.767728808424,197.2384340004659,2457300
2023-10-26,195.68064880371094,199.59928120803028,195.37102044569954,197.71252953856307,2626300
2023-10-27,195.17750549316406,197.41258163064802,193.48426420550746,195.99025776790506,2427600
2023-10-30,199.12518310546875,200.32495608315338,195.8451333524014,196.648215296696,2230100
2023-10-31,200.87648010253906,201.16675300307355,198.00280643864457,199.69604780055377,2057800
2023-11-01,200.8280792236328,201.6311611057077,198.79619864599601,200.34429602459193,2444200
2023-11-02,204.5338897705078,205.03702850389544,201.01194816458184,201.8053598119967,1776600
2023-11-03,205.2498779296875,206.48836181765031,204.70804307419036,206.09165602562825,1634800
2023-11-06,206.18841552734375,206.2754929641408,202.56004135521002,205.12408653129427,1547200
2023-11-07,204.55322265625,205.96586137728298,204.0597543277054,205.83040266754156,2324200
2023-11-08,205.1240997314453,206.06264042547897,204.18555903741168,205.21117717384598,2483100
2023-11-09,203.4114990234375,205.9465332662439,202.71484996964722,205.89815198897372,1496400
2023-11-10,204.63063049316406,205.04667697322057,201.73760153977477,204.3790537713698,2673600
2023-11-13,202.60841369628906,204.2629588625029,201.3892852543739,204.2629588625029,2185100
2023-11-14,208.6943817138672,210.25216407806158,205.5788169854784,205.58848733366818,2610400
2023-11-15,211.0068817138672,213.2516280785819,208.8105018579086,209.34266632924988,2709700
2023-11-16,212.24539184570312,212.58404603234774,209.75873880933642,211.27782532831097,1438200
2023-11-17,212.10025024414062,214.1127754892032,210.76500380457125,213.6289922590859,2002600
2023-11-20,213.928955078125,214.4901306454655,209.88451950609596,211.89705956034538,2548000
2023-11-21,214.7997589111328,215.7673253927145,211.9938220201031,213.92895498326644,2422300
2023-11-22,216.24142456054688,217.00579553637493,214.91584852545674,215.5157497454135,1716200
2023-11-24,217.0057830810547,217.6927616960634,215.8930876672715,216.07692763877625,1045600
2023-11-27,212.719482421875,216.82195457602805,212.255039912283,216.4833151888289,2369200
2023-11-28,214.05470275878906,215.45767103502314,212.361461620326,212.58401251423984,1827600
2023-11-29,214.28695678710938,216.61879562646786,213.68707027357394,215.60284783517247,1228900
2023-11-30,217.9636993408203,218.32169420454255,213.49353228154828,215.04164451431743,4430100
2023-12-01,223.8658447265625,224.8140704772029,218.90223887940485,220.03428985380546,3239000
2023-12-04,226.3137969970703,227.09753825872818,223.07245810113594,223.27563879705633,3881900
2023-12-05,224.63990783691406,225.56877815360767,223.4110942737141,225.23979432992678,2632400
2023-12-06,225.41395568847656,226.40087759545955,224.3206008820749,225.559084749551,1804900
2023-12-07,225.2388153076172,226.6107281765325,224.31445737007414,226.14369432427915,2075100
2023-12-08,223.5652618408203,226.63019284647692,223.31227341651672,225.3847593393682,2544100
2023-12-11,225.7642364501953,226.0658628023288,223.34147132551982,223.71121451677465,1810200
2023-12-12,226.62046813964844,228.20644128743496,226.25072496381108,226.795600267105,2427500
2023-12-13,230.2984161376953,230.41517090193332,225.3069421121592,226.6399418263434,3926700
2023-12-14,236.30178833007812,238.45211583314918,232.58493681118534,233.18820437380685,4863600
2023-12-15,235.445556640625,236.30179783055192,230.98923339255813,231.22275776619458,4768500
2023-12-18,234.5893096923828,237.30396163129345,234.4336267902995,236.48664866546432,2457600
2023-12-19,236.0974578857422,236.85639352793527,233.51902459454004,234.8131109707769,2314200
2023-12-20,231.41734313964844,235.58176443714416,231.28112430643088,233.7330781510861,2724800
2023-12-21,235.57203674316406,235.7958216419374,231.18383060133812,231.68977777710924,2603100
2023-12-22,237.00234985351562,238.33534952352335,235.78610494387655,236.43801043383434,1824800
2023-12-26,238.6661376953125,239.77535233410546,237.04123646065233,237.04123646065233,1454100
2023-12-27,239.172119140625,240.0380848953553,237.71262529467018,238.04344033653587,2206000
2023-12-28,239.37646484375,240.32027209142765,238.57860104808856,239.39591407285897,1208500
2023-12-29,238.9872589111328,239.8824133976175,238.1212931152163,239.34727750604048,1228700
2024-01-02,236.85638427734375,239.3472662469971,236.19475419326804,238.36453088829637,2622200
